id	sex	pbs	math	verbal
1	1	23	12	13
2	1	13	18	16
3	1	12	13	12
4	1	13	13	16
5	1	14	13	14
6	1	15	16	18
7	1	15	14	15
8	1	16	17	19
9	1	13	13	13
10	1	15	15	18
11	1	12	12	12
12	1	10	13	13
13	1	13	13	13
14	1	12	17	15
15	1	14	13	16
16	2	15	13	18
17	2	14	13	14
18	2	14	15	17
19	2	16	13	16
20	2	14	14	17
21	2	16	13	16
22	2	15	14	18
23	2	15	14	15
24	2	15	14	18
25	2	14	12	14
26	2	15	17	18
27	2	14	13	14
28	2	14	15	17
29	2	16	14	16
30	2	14	13	17
31	2	16	13	16
32	2	15	14	18
33	2	15	14	15
34	2	15	14	18
35	1	14	12	14
36	1	15	17	18
37	1	3	13	14
38	1	14	15	17
39	1	16	14	16
40	1	14	13	17
