subject,Gender,Age,Condition,Response
AAE967,M,23,3,4
ABS992,M,38,2,3
AEP649,M,46,3,4
AGJ936,F,21,3,4
AKE168,M,17,1,4
ALZ051,F,19,1,3
AMP005,M,41,2,7
AUA278,F,24,1,6
AUF976,F,17,2,6
AWL394,F,18,1,6
AXX282,F,36,2,5
AZH115,F,22,1,2
AZY357,M,20,1,6
BAK757,F,17,3,3
BEB873,M,17,1,2
BEV719,F,20,3,6
BJG277,M,40,3,3
BTN703,F,53,3,3
BTT612,F,21,2,2
BVL142,F,20,3,5
BYS803,F,26,3,6
CCX533,F,24,3,4
CEK786,M,34,2,2
CEP780,M,17,3,5
CHG540,M,21,1,3
CIS946,F,42,3,4
CKL779,M,45,2,3
CKL779,M,45,2,3
CKL779,M,45,2,3
CKL779,M,45,2,3
CKL779,M,45,2,3
CKP998,F,20,3,3
CLZ176,F,24,2,4
CMA010,M,25,3,5
CMV199,F,21,2,4
CNV934,F,22,1,5
CPP070,M,22,3,5
CPW988,M,38,3,5
CSV267,F,19,1,5
CTU066,F,34,2,5
CUL078,F,23,2,6
CWV655,M,16,1,6
CXP613,M,32,3,6
CZU407,M,29,1,3
DGI238,F,22,3,4
DKT854,M,22,1,5
DKV306,F,30,3,5
DLB531,F,20,1,5
DPR445,M,21,1,5
DPY651,F,19,1,5
DQP298,F,20,2,2
DRN673,F,21,3,4
DSC235,F,18,1,5
DWE638,F,23,3,3
DZJ147,F,22,2,3
EBX791,F,19,3,5
EHM326,F,23,1,6
EJQ215,F,23,2,2
EKE079,F,19,1,5
EKG815,M,32,3,4
EKY586,M,8,2,4
ELD217,F,17,3,5
EOK982,M,22,1,3
EYV058,M,17,1,3
EZB381,M,16,1,5
FCF567,M,33,2,5
FXX487,M,17,1,3
FZQ282,M,25,3,4
GLA201,M,22,3,5
GLK061,M,27,2,4
GMI943,M,17,3,6
GVB607,F,21,2,4
HAK820,F,22,1,4
HFH234,F,28,1,3
HGF323,M,23,1,2
HGH975,F,20,1,5
HHG233,F,21,1,5
HJJ388,F,16,2,3
HLK451,F,53,1,6
HNQ929,M,44,2,2
HQB994,M,22,2,4
HQP785,M,21,3,7
HRI969,F,17,2,5
HSB961,F,13,2,5
HVV237,F,39,3,6
IAD119,F,16,1,5
