subj       crecog    irecog    crecal    irecal    
8          50         20         67         11         
100        62         12         58         18         
8          50         25         33         20         
13         96         0          96         4          
2          67         20         46         0          
12         88         9          46         8          
12         0          0          0          0          
12         0          0          0          0          
12         100        8          71         11         
5          67         47         0          100        
5          62         42         0          100        
5          71         35         0          100        
3          75         10         71         29         
4          62         21         62         38         
7          71         15         88         12         
14         83         23         75         25         
15         50         14         33         67         
10         50         45         0          0          
16         46         21         42         58         
