subject rt1 rt2 rt3 rt4 ac1 ac2 ac3 ac4
1 1990.25 2448.50 2712.62 2590.62 0.88 0.88 0.88 0.88
2 3993.62 3541.50 4556.62 2857.12 0.75 1.00 1.00 1.00
3 2764.38 2775.50 2934.38 3260.50 1.00 1.00 0.88 1.00
7 1657.25 1952.12 2511.88 1526.62 1.00 1.00 1.00 1.00
8 4750.00 3069.62 3895.62 3803.44 0.94 0.88 0.94 0.75
10 4679.12 5847.88 4052.12 2892.38 1.00 1.00 0.62 1.00
11 3317.38 3884.50 4074.38 4010.50 0.88 1.00 0.88 1.00
12 2096.38 2158.62 2683.00 1748.00 0.75 1.00 1.00 1.00
13 1995.25 1762.44 1533.25 1711.12 0.50 0.62 0.50 0.81
100 5414.75 2579.62 4415.12 3114.62 0.88 1.00 0.75 0.75
