SUBJECT r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 
  1  1901.03 1609.00 1452.50 1415.71 1332.19 1498.83 1187.65 1443.06 1170.17 1556.25  948.00
  3  1186.20 1049.09  997.97  942.30  934.21  920.08  918.70  935.75  848.00  778.38  636.75
  5   942.00 1020.42 1016.11  929.55  944.19  924.52  983.55  943.73  871.58  888.62  859.25
  7  1722.28 1436.30 1284.03 1101.31 1076.67 1120.46 1056.47  960.53 1036.58  911.25  872.25
  8  1178.94 1015.81  951.96  901.38  807.48  834.54  804.50  787.22  742.61  726.19  676.50
 10   936.10  982.09  828.76  798.22  836.11  796.24  787.32  777.31  702.92  643.50  663.50
 11  1076.74  992.09  876.56  853.80  819.32  848.04  830.15  808.44  735.83  734.00  716.33
 12  1182.11  971.14  923.39  895.29  850.88  822.91  804.90  822.06  861.60  642.71  681.50
 13  1103.28  952.94  919.48  823.41  836.39  811.78  752.05  802.88  744.42  669.38  609.00
100   655.15  689.15  694.20  691.08  662.23  610.80  583.58  664.21  571.00  545.12  473.25
