SUBJECT DISTANCE RESPRT
1 4 1743
1 3 948
1 7 954
1 6 1058
1 8 1607
1 5 1010
1 1 1012
1 11 1176
1 5 1080
1 2 1423
1 2 1125
1 8 1160
1 3 1070
1 3 2196
1 2 1560
1 7 2046
1 4 1015
1 4 870
1 2 979
1 3 992
1 6 1239
1 7 1041
1 6 835
1 7 834
1 5 1406
1 1 1738
1 3 1393
1 3 1142
1 3 1115
1 6 1338
1 6 1797
1 1 2841
1 3 2433
1 5 1760
1 9 954
1 8 1271
1 5 982
1 4 1189
1 1 1674
1 4 1022
1 2 1748
1 3 1424
1 4 1250
1 8 1112
1 4 963
1 2 1380
1 5 854
1 2 1376
1 4 1370
1 9 784
1 1 1224
1 7 1209
1 4 1604
1 8 1854
1 6 2096
1 2 1353
1 5 1410
1 4 2214
1 3 1370
1 5 1318
1 8 1298
1 9 911
1 5 1405
1 1 1282
1 5 1614
1 2 1751
1 1 1939
1 2 2973
1 6 1714
1 1 2126
1 4 1236
1 1 1757
1 1 1887
1 6 1906
1 3 1058
1 10 1105
1 6 2481
1 1 1006
1 4 1516
1 9 2302
1 4 1024
1 7 1090
1 3 1286
1 5 1001
1 1 2303
1 1 2435
1 6 1572
1 2 1688
1 7 1061
1 1 2781
1 9 1925
1 3 1651
1 1 2100
1 2 1153
1 3 916
1 6 1733
1 10 918
1 5 1218
1 2 1936
1 1 2621
1 8 916
1 10 1832
1 4 1068
1 10 1134
1 7 802
1 1 795
1 3 896
1 6 894
1 5 1110
1 2 1709
1 4 1887
1 7 1167
1 2 1481
1 7 930
1 3 1239
1 8 1660
1 3 1278
1 9 866
1 2 1675
1 5 1604
1 7 1514
1 2 2017
1 10 1652
1 2 1969
1 6 1253
1 2 1297
1 6 1124
1 5 974
1 3 1273
1 1 2134
1 4 1768
1 3 1493
1 6 1407
1 2 1316
1 3 1655
1 10 2404
1 6 2325
1 6 1564
1 3 1722
1 2 2459
1 5 1758
1 1 1979
1 4 1675
1 4 2407
1 3 1801
1 4 1534
1 4 1579
1 5 1520
1 6 1839
1 3 1922
1 7 1380
1 5 867
1 2 1757
1 2 1550
1 2 2168
1 5 985
1 2 2210
1 1 1805
1 3 1346
1 2 1469
1 9 1115
1 7 1076
1 2 744
1 4 1014
1 4 1580
1 5 1134
1 9 946
1 1 1625
1 4 1576
1 1 1859
1 2 1311
1 5 1264
1 9 910
1 8 1469
1 1 1913
1 1 2696
1 1 1533
1 1 2013
1 5 1180
1 3 2423
1 8 2268
1 8 1026
1 4 969
1 8 1254
1 7 934
1 7 984
1 3 961
1 9 841
1 8 1476
1 2 990
1 6 758
1 4 750
1 7 861
1 9 1037
1 6 974
1 7 1486
1 8 874
1 5 2279
1 5 1009
1 3 732
1 6 2356
1 11 978
1 4 1018
1 11 690
1 6 1082
1 3 1566
1 5 1619
1 10 974
1 6 1128
1 3 1063
1 2 1079
1 1 2249
1 4 1972
1 4 2097
1 2 1680
1 3 1840
1 7 1615
1 3 1595
1 1 2862
1 5 2422
1 8 2176
1 7 1946
1 1 1901
1 1 2404
1 3 2107
1 1 1909
1 3 2185
1 2 2248
1 10 2431
1 4 1123
1 4 1519
1 8 1668
1 3 1294
1 9 1451
1 5 1186
1 7 823
1 4 1335
1 2 1538
1 1 965
1 1 1366
1 2 1594
8 5 1124
8 9 817
8 10 786
8 2 1001
8 1 1430
8 7 797
8 5 879
8 6 664
8 2 1359
8 2 1062
8 7 848
8 10 910
8 10 756
8 6 1115
8 3 970
8 1 1129
8 7 883
8 4 853
8 7 787
8 5 1093
8 5 756
8 5 694
8 5 855
8 4 848
8 6 787
8 9 940
8 6 848
8 1 1216
8 7 725
8 2 694
8 6 664
8 1 981
8 6 961
8 2 663
8 3 777
8 2 970
8 7 664
8 3 761
8 3 945
8 6 669
8 1 945
8 3 699
8 8 638
8 4 755
8 8 633
8 4 909
8 6 904
8 3 948
8 2 1282
8 11 730
8 3 822
8 5 822
8 1 782
8 1 883
8 8 664
8 4 817
8 3 695
8 5 848
8 7 730
8 3 975
8 5 883
8 5 1037
8 9 666
8 3 668
8 3 914
8 11 638
8 4 787
8 6 633
8 2 1185
8 7 787
8 1 1077
8 6 817
8 8 783
8 7 817
8 3 848
8 3 1093
8 4 812
8 4 853
8 2 1124
8 1 940
8 9 633
8 1 879
8 2 1058
8 2 1001
8 6 730
8 4 761
8 2 1006
8 2 792
8 4 944
8 7 822
8 4 664
8 10 817
8 4 1093
8 1 1308
8 4 878
8 4 654
8 3 695
8 9 817
8 2 695
8 8 787
8 2 976
8 3 1023
8 8 869
8 1 1400
8 6 787
8 4 756
8 2 726
8 3 970
8 1 1032
8 3 1129
8 8 1037
8 2 973
8 1 1467
8 5 909
8 3 945
8 5 663
8 5 786
8 8 695
8 5 848
8 1 1308
8 1 1645
8 1 1190
8 3 1584
8 4 756
8 6 786
8 5 965
8 5 1062
8 6 756
8 3 818
8 8 975
8 3 1129
8 3 1313
8 10 822
8 1 1400
8 3 1267
8 7 667
8 2 801
8 1 939
8 4 847
8 6 878
8 9 669
8 7 782
8 2 944
8 1 1553
8 2 838
8 6 1093
8 1 1085
8 2 1522
8 9 746
8 7 940
8 6 725
8 5 731
8 3 1651
8 6 1190
8 2 761
8 1 1221
8 2 1160
8 4 1436
8 4 881
8 4 756
8 5 761
8 2 1251
8 3 914
8 10 915
8 4 940
8 11 694
8 5 717
8 4 786
8 4 633
8 2 760
8 10 817
8 1 695
8 8 572
8 11 572
8 6 756
8 5 664
8 1 848
8 6 623
8 2 593
8 4 669
8 2 1129
8 7 1006
8 5 792
8 4 1006
8 9 853
8 5 853
8 2 958
8 8 818
8 9 817
8 2 781
8 6 878
8 10 572
8 7 786
8 1 848
8 3 664
8 3 1032
8 1 847
8 6 822
8 1 1248
8 5 577
8 5 1191
8 1 1374
8 6 755
8 2 1681
8 8 777
8 1 1215
8 8 694
8 3 633
8 5 597
8 5 664
8 3 879
8 4 879
8 9 547
8 2 699
8 9 541
8 7 664
8 2 1369
8 8 664
8 2 817
8 7 756
8 4 725
8 3 603
8 3 587
8 5 730
8 1 608
8 8 685
8 4 1124
8 1 848
8 2 909
8 3 633
8 1 1062
8 3 817
8 7 1062
8 4 1247
8 2 1829
8 1 817
8 4 664
8 3 984
8 4 755
8 7 725
8 1 1313
8 3 945
8 5 725
8 8 1343
3 9 695
3 11 731
3 2 1149
3 9 695
3 6 1040
3 8 666
3 6 850
3 3 935
3 5 965
3 1 1413
3 8 970
3 3 1269
3 5 840
3 4 961
3 2 1234
3 1 1105
3 8 1389
3 2 1234
3 2 1175
3 2 1802
3 2 935
3 8 1000
3 7 1149
3 5 965
3 4 696
3 4 935
3 1 1713
3 4 995
3 8 815
3 7 881
3 3 1000
3 3 1479
3 4 696
3 3 1174
3 1 786
3 1 1170
3 1 576
3 1 696
3 10 966
3 7 1234
3 6 906
3 5 995
3 5 905
3 9 726
3 2 761
3 1 1328
3 2 1120
3 5 1085
3 3 791
3 9 860
3 2 720
3 1 1128
3 3 1055
3 7 1055
3 1 965
3 1 1359
3 4 1051
3 6 820
3 3 1115
3 3 1055
3 7 875
3 7 875
3 3 1145
3 2 1204
3 7 1054
3 1 1115
3 7 935
3 3 1000
3 6 1019
3 4 611
3 9 851
3 5 1329
3 4 802
3 1 1478
3 7 846
3 5 811
3 6 968
3 2 1174
3 6 856
3 4 1231
3 5 833
3 5 661
3 1 726
3 6 995
3 6 754
3 1 815
3 4 845
3 4 876
3 11 636
3 3 995
3 10 636
3 2 1024
3 3 905
3 6 641
3 4 901
3 2 682
3 1 940
3 4 1089
3 10 935
3 3 1205
3 2 726
3 3 606
3 5 1025
3 2 1114
3 3 816
3 2 1025
3 5 666
3 4 787
3 8 1180
3 8 1178
3 5 970
3 5 1210
3 1 1089
3 10 791
3 9 1479
3 6 1209
3 2 696
3 8 816
3 6 875
3 3 1359
3 7 546
3 7 1174
3 8 896
3 3 940
3 2 1150
3 4 911
3 2 940
3 6 935
3 9 726
3 4 785
3 5 940
3 2 1329
3 1 786
3 8 851
3 6 1054
3 11 627
3 10 666
3 1 1476
3 10 746
3 3 1085
3 2 935
3 1 1554
3 5 726
3 5 875
3 2 1055
3 1 1504
3 6 845
3 8 965
3 4 1449
3 2 1329
3 4 1355
3 5 1085
3 3 995
3 6 665
3 9 843
3 5 970
3 6 1030
3 7 910
3 2 1115
3 1 1533
3 8 895
3 1 994
3 3 856
3 4 905
3 4 965
3 3 1021
3 10 786
3 4 876
3 6 1777
3 3 995
3 2 937
3 1 2077
3 8 940
3 2 1928
3 5 1122
3 8 811
3 3 933
3 1 1240
3 7 1030
3 3 841
3 9 911
3 2 1269
3 2 1000
3 2 730
3 6 880
3 7 876
3 6 726
3 1 581
3 5 1090
3 3 1060
3 11 553
3 5 850
3 3 730
3 2 546
3 3 977
3 4 935
3 5 776
3 5 755
3 4 1095
3 3 1025
3 10 701
3 1 1329
3 6 910
3 4 995
3 7 816
3 8 750
3 7 815
3 4 875
3 6 516
3 5 1055
3 4 906
3 1 1504
3 2 696
3 1 1115
3 4 784
3 9 725
3 6 1115
3 1 905
3 1 1809
3 5 943
3 3 995
3 7 696
3 7 940
3 1 1778
3 7 726
3 1 965
3 9 965
3 4 871
3 9 700
3 1 1030
3 8 850
3 6 696
3 7 941
3 2 820
3 2 1150
3 1 935
3 3 546
3 4 1295
3 4 791
3 3 1032
3 2 965
3 5 965
3 5 746
100 1 804
100 7 861
100 10 521
100 5 775
100 8 575
100 10 533
100 3 491
100 1 541
100 4 737
100 2 695
100 6 765
100 8 1044
100 1 647
100 6 533
100 1 527
100 3 827
100 4 688
100 3 720
100 9 445
100 8 648
100 1 580
100 4 570
100 2 765
100 5 915
100 5 489
100 9 510
100 4 644
100 4 523
100 7 510
100 4 593
100 8 664
100 2 302
100 5 1184
100 1 857
100 3 736
100 3 504
100 1 849
100 8 600
100 1 356
100 7 711
100 5 863
100 9 475
100 3 752
100 10 784
100 2 740
100 6 645
100 5 366
100 7 655
100 7 775
100 3 607
100 1 325
100 3 547
100 8 656
100 6 721
100 7 625
100 5 688
100 9 700
100 1 1254
100 3 415
100 10 488
100 1 659
100 5 484
100 6 721
100 4 620
100 6 526
100 4 1660
100 2 457
100 6 499
100 2 684
100 8 591
100 3 464
100 2 749
100 4 639
100 6 485
100 9 741
100 1 687
100 2 425
100 3 820
100 1 616
100 11 419
100 7 351
100 9 494
100 5 670
100 3 682
100 11 479
100 4 449
100 5 625
100 7 573
100 3 875
100 2 1043
100 2 615
100 5 517
100 5 640
100 4 725
100 8 730
100 5 763
100 7 576
100 4 662
100 5 616
100 6 738
100 6 480
100 2 899
100 4 629
100 2 823
100 2 830
100 3 830
100 9 620
100 3 771
100 2 1445
100 6 577
100 3 756
100 1 695
100 4 716
100 2 517
100 3 508
100 6 642
100 5 562
100 5 483
100 7 609
100 1 477
100 1 514
100 10 480
100 7 601
100 11 484
100 9 435
100 7 404
100 10 604
100 2 474
100 7 386
100 4 539
100 5 653
100 3 951
100 4 499
100 2 650
100 3 825
100 2 1122
100 5 435
100 1 1298
100 2 639
100 9 495
100 7 330
100 2 674
100 3 624
100 3 459
100 2 700
100 5 615
100 2 959
100 6 755
100 8 793
100 1 803
100 1 766
100 7 640
100 6 733
100 2 568
100 5 485
100 3 678
100 2 429
100 6 154
100 1 343
100 10 326
100 4 609
100 2 324
100 1 321
100 4 696
100 5 594
100 7 338
100 4 653
100 4 815
100 1 421
100 6 999
100 1 812
100 3 875
100 8 582
100 5 854
100 4 707
100 3 514
100 2 405
100 4 654
100 8 524
100 4 730
100 7 900
100 10 625
100 6 460
100 8 643
100 7 716
100 5 715
100 1 478
100 8 723
100 5 829
100 1 746
100 1 658
100 2 674
100 5 534
100 4 621
100 9 640
100 3 1124
100 4 600
100 8 526
100 7 527
100 6 606
100 4 990
100 5 864
100 9 652
100 11 511
100 6 420
100 9 645
100 6 757
7 9 1072
7 1 2544
7 4 1071
7 4 825
7 5 1035
7 7 936
7 10 705
7 2 1036
7 3 1055
7 10 553
7 8 584
7 4 1192
7 3 945
7 4 524
7 3 558
7 4 1222
7 6 680
7 8 1156
7 5 488
7 1 1041
7 1 1297
7 1 1277
7 5 886
7 6 1277
7 4 1524
7 5 1157
7 9 679
7 8 825
7 6 825
7 3 1072
7 2 1138
7 7 704
7 9 1041
7 8 807
7 3 494
7 9 1157
