SUBJECT r1 r2 r3 r4 r5 r6 
  1  1572.65 1760.74 1431.47 1613.83 1516.93 1328.78
  3   985.64 1115.21  927.79 1051.43 1013.19  940.12
  5   957.04 1082.80  940.60  990.45  917.58  929.27
  7  1415.29 1612.97 1263.47 1436.62 1043.88  999.91
  8   989.25 1023.36  813.36 1172.90  924.91  850.79
 10   975.43  850.58  810.57 1101.06  655.32  803.81
 11   909.65  925.23  823.50 1109.44  911.04  840.30
 12   902.48  956.11  797.14 1282.26  890.19  889.38
 13  1065.68  979.93  837.00 1033.96  772.23  779.97
100   661.45  733.00  625.72  781.28  602.13  606.65
