SUBJECT DISTANCE RESPRT
2 2 898
2 5 1115
2 9 929
2 10 605
2 2 831
2 6 800
2 2 1327
2 1 1755
2 5 799
2 9 862
2 1 945
2 1 675
2 5 579
2 5 552
2 9 924
2 5 1455
2 5 844
2 7 645
2 4 738
2 10 598
2 5 707
2 5 464
2 9 738
2 4 831
2 5 862
2 4 707
2 3 924
2 1 800
2 9 712
2 1 898
2 3 556
2 4 645
2 4 490
2 7 769
2 6 774
2 4 1051
2 4 805
2 6 738
2 5 659
2 4 460
2 3 459
2 8 552
2 6 831
2 3 805
2 4 774
2 5 738
2 3 1202
2 2 1048
2 1 583
2 7 702
2 9 402
2 7 676
2 4 671
2 1 402
2 1 681
2 6 614
2 6 743
2 4 867
2 10 800
2 2 650
2 8 632
2 1 670
2 3 906
2 6 645
2 2 480
2 5 552
2 7 738
2 8 676
2 3 826
2 3 676
2 7 875
2 2 1079
2 2 831
2 6 676
2 1 1203
2 3 929
2 7 866
2 1 1332
2 8 707
2 7 862
2 1 1388
2 1 1394
2 2 898
2 1 1673
2 5 1115
2 3 676
2 1 1079
2 4 738
2 3 893
2 2 2696
2 5 619
2 6 764
2 7 707
2 3 831
2 2 1016
2 3 986
2 4 769
2 2 707
2 1 1362
2 1 774
2 1 1735
2 2 1172
2 10 738
2 7 676
2 3 1084
2 2 836
2 4 960
2 8 831
2 11 645
2 8 666
2 3 1110
2 4 905
2 10 843
2 2 836
2 8 650
2 6 774
2 5 521
2 1 1389
2 1 1202
2 1 1269
2 1 898
2 3 1017
2 3 924
2 2 738
2 2 945
2 3 768
2 4 867
2 5 557
2 6 698
2 4 875
2 2 675
2 1 614
2 1 774
2 1 743
2 6 862
2 6 614
2 9 614
2 5 552
2 1 578
2 2 557
2 9 490
2 2 893
2 4 763
2 2 676
2 4 929
2 5 552
2 4 573
2 7 542
2 6 707
2 4 614
2 5 951
2 9 733
2 8 645
2 5 605
2 6 676
2 5 588
2 2 712
2 8 645
2 5 583
2 1 955
2 2 914
2 1 1425
2 4 867
2 3 1007
2 3 1234
2 1 790
2 1 1017
2 1 1699
2 6 738
2 5 707
2 2 857
2 8 794
2 11 583
2 10 583
2 10 588
2 1 774
2 7 552
2 6 583
2 2 1219
2 1 769
2 3 681
2 5 588
2 2 831
2 3 583
2 5 614
2 4 862
2 6 1046
2 2 986
2 4 862
2 2 924
2 7 547
2 8 734
2 9 681
2 7 645
2 7 583
2 3 694
2 3 552
2 7 681
2 4 743
2 4 459
2 1 769
2 7 552
2 7 681
2 3 557
2 1 1822
2 6 588
2 2 1140
2 6 985
2 11 552
2 4 552
